date,report_org_code,org_code,activity,activity_short,state,township,beneficiaries,unique_beneficiaries
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Myitkyina,482,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Myitkyina,572,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Myitkyina,274,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Myitkyina,377,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Myitkyina,112,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Myitkyina,537,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Myitkyina,542,Yes
01/01/2021,org_2690,org_6130,Provide monthly food baskets,food distribution,Kachin,Myitkyina,1404,Yes
01/01/2021,org_2690,org_6130,Provide monthly food baskets,food distribution,Kachin,Myitkyina,664,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Myitkyina,890,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Myitkyina,527,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Myitkyina,136,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Mohnyin,124,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Mohnyin,116,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Mohnyin,31,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Mohnyin,55,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Mogaung,67,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Mogaung,70,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Mogaung,46,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Mogaung,134,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Mogaung,219,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Mogaung,405,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Mogaung,554,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Mogaung,30,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Hpakant,157,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Hpakant,23,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Hpakant,59,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Hpakant,105,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Hpakant,62,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Hpakant,55,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Hpakant,15,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Hpakant,16,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Hpakant,489,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Hpakant,226,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Hpakant,22,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Hpakant,361,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Hpakant,228,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Hpakant,311,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Hpakant,607,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Hpakant,377,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Hpakant,53,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Hpakant,150,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Hpakant,49,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Hpakant,226,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Hpakant,92,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Hpakant,113,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Puta-O,305,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Tanai,583,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Tanai,382,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Tanai,182,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Tanai,209,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Bhamo,3257,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Bhamo,632,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Bhamo,797,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Bhamo,206,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Bhamo,349,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Bhamo,331,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Shwegu,196,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Shwegu,97,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Momauk,2028,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Momauk,401,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Momauk,470,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Momauk,66,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Momauk,17,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Momauk,210,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Momauk,533,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Momauk,289,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Momauk,246,Yes
